740,<= numLines,,,,,,,
S0R0,S0R1,S0R2,S0R3,S0R4,S0R5,S0R6,S0R7,S0R8
-5,5442,14332,86,-150,69,2,218,-110
-207,5678,14585,90,-176,105,4,218,-102
-155,5853,14970,118,-130,142,-8,216,-96
-208,6169,14894,156,-85,156,0,212,-104
13,6200,15026,143,-137,142,-7,207,-105
62,6240,14929,156,-148,129,-3,215,-95
26,6204,14932,179,-129,114,1,207,-113
37,6223,14707,181,-133,89,0,220,-102
127,6062,14410,155,-143,56,-8,220,-102
277,5838,14113,111,-145,19,-6,214,-104
324,5648,14085,81,-84,-15,-3,207,-95
48,5618,14047,46,-26,-50,3,207,-101
-214,5520,14179,1,-5,-71,-7,201,-105
-443,5528,14332,-14,11,-64,-2,212,-106
-561,5565,14700,-34,10,-47,-6,206,-108
-567,5613,14888,-28,-7,-22,-11,221,-107
-424,5606,15060,-25,-15,-2,-15,211,-111
-381,5561,15154,-25,-5,14,-9,217,-99
-205,5532,15235,-7,24,38,-2,212,-100
-117,5432,14625,12,37,67,-2,214,-98
-715,5510,14994,173,-352,135,-2,212,-104
-715,5510,14994,173,-352,135,-2,212,-104
882,5407,15167,-46,-46,106,-1,205,-103
723,5331,14573,-61,72,85,-3,205,-103
648,5393,14747,-64,-28,56,-9,205,-109
344,5712,15171,-145,-78,8,-5,209,-105
821,5861,15753,-147,61,-20,-7,209,-101
245,5924,15619,-120,228,-4,-5,215,-105
105,6054,15531,-77,239,7,-1,207,-101
21,5945,15632,-27,124,12,4,210,-106
298,5973,15754,-24,124,37,-4,210,-94
320,5896,15451,2,191,73,-7,215,-99
348,5893,14855,22,114,104,-4,208,-104
899,5834,14781,35,-34,129,-11,213,-101
344,4178,13507,88,-92,214,0,210,-106
1776,7042,14920,104,-132,295,-7,205,-107
1119,6241,14540,102,-66,152,3,205,-101
640,5526,13767,105,-130,153,-7,215,-109
1569,7039,15103,75,-252,207,-8,202,-106
1270,6621,14754,24,-158,113,-3,207,-105
1327,6634,14674,-27,-164,85,-8,216,-108
1128,6734,14594,-64,-199,87,-8,216,-108
1015,6898,14731,-120,-212,68,-17,201,-101
1632,9247,17128,-244,-921,167,-7,195,-103
979,6199,15448,-253,-452,-99,-5,199,-89
562,6465,14825,-57,-404,-16,-7,203,-95
1325,6638,14724,-39,-365,11,-6,198,-98
1433,6448,14788,-47,-297,-2,-5,201,-91
1556,6448,14385,-52,-185,-14,-12,202,-102
1164,6313,14290,-71,-169,-10,-14,204,-100
1624,6172,14169,-53,-265,-42,-12,196,-104
1446,6144,14128,-75,-122,-85,-14,194,-100
1241,6035,14028,-158,40,-122,-12,198,-94
1154,6002,13959,-210,173,-141,-3,205,-97
1244,6085,13909,-248,149,-142,-10,202,-96
1316,6205,13845,-261,-5,-133,-7,201,-91
1269,6180,14735,-193,-183,-101,1,201,-99
1212,6424,15001,-107,-287,-94,-6,200,-94
1311,6621,15543,-38,-400,-100,-5,207,-97
1515,6642,15997,-27,-434,-86,-5,201,-99
1757,6896,16061,8,-403,-67,0,194,-94
1771,6877,15692,70,-398,-51,-5,201,-91
1779,6905,15268,92,-476,-59,-3,193,-101
1645,6663,15167,92,-612,-81,-7,195,-91
1376,6315,15008,167,-681,-78,-2,196,-98
1492,6127,14590,219,-735,-73,-6,190,-88
1752,5941,14449,207,-727,-86,-9,193,-85
2114,6091,14732,161,-583,-94,-3,195,-85
2295,6230,14932,79,-301,-133,-1,189,-97
2088,6224,14926,9,21,-164,-5,185,-89
1685,6314,14752,2,188,-177,-14,192,-94
1448,6199,14952,22,234,-163,0,186,-94
1649,6447,14952,32,186,-108,-10,188,-96
2099,7166,15308,55,204,-181,-4,184,-88
389,6768,8813,-9,-1582,-671,-11,185,-89
1123,1256,18724,-748,-2005,-438,-2,190,-88
2507,3986,14799,-468,-13,3,-11,193,-89
2636,4942,13848,-327,738,183,-6,190,-86
1235,5188,14830,-312,613,182,5,187,-93
2491,4761,15848,-194,352,-22,-10,190,-84
2148,4162,17396,9,478,66,4,194,-88
2127,5636,15022,337,603,251,-8,190,-86
2872,5884,14797,267,328,191,2,200,-94
3710,6721,13803,199,173,187,-3,195,-93
2728,5394,14034,112,97,116,-8,192,-90
1721,5204,12031,132,325,-45,-5,187,-97
1972,4792,12383,1,-32,-150,4,200,-96
2169,5014,13683,-230,-160,-170,0,194,-94
3465,7286,14208,-443,443,-81,-5,199,-89
1698,6038,14320,-397,460,-238,4,196,-90
974,6402,15445,-145,220,-242,-3,193,-97
1589,6593,15817,-100,235,-316,6,194,-88
1877,6091,14822,-24,94,-299,-5,201,-93
1892,5941,14238,18,-198,-218,0,194,-96
2397,6212,13702,-43,-505,-160,3,197,-97
2870,6431,13449,-182,-748,-173,2,198,-92
3237,6394,14354,-178,-805,-258,-4,192,-94
1388,4808,13062,-22,-884,-148,3,195,-89
2730,6618,13896,-50,-1079,-95,-10,184,-90
3234,7222,15100,-169,-1054,-109,6,184,-94
